id_census,id_shapefile
36005000100,2000100
36005000200,2000200
36005000400,2000400
36005001600,2001600
36005001900,2001900
36005002000,2002000
36005002300,2002300
36005002400,2002400
36005002500,2002500
36005002701,2002701
36005002702,2002702
36005002800,2002800
36005003100,2003100
36005003300,2003300
36005003500,2003500
36005003700,2003700
36005003800,2003800
36005003900,2003900
36005004001,2004001
36005004100,2004100
36005004200,2004200
36005004300,2004300
36005004400,2004400
36005004600,2004600
36005004800,2004800
36005005001,2005001
36005005002,2005002
36005005100,2005100
36005005200,2005200
36005005300,2005300
36005005400,2005400
36005005600,2005600
36005005902,2005902
36005006000,2006000
36005006100,2006100
36005006200,2006200
36005006300,2006300
36005006400,2006400
36005006500,2006500
36005006700,2006700
36005006800,2006800
36005006900,2006900
36005007000,2007000
36005007100,2007100
36005007200,2007200
36005007300,2007300
36005007400,2007400
36005007500,2007500
36005007600,2007600
36005007700,2007700
36005007800,2007800
36005007900,2007900
36005008300,2008300
36005008400,2008400
36005008500,2008500
36005008600,2008600
36005008700,2008700
36005008900,2008900
36005009000,2009000
36005009200,2009200
36005009300,2009300
36005009600,2009600
36005009800,2009800
36005011000,2011000
36005011502,2011502
36005011700,2011700
36005011800,2011800
36005011900,2011900
36005012101,2012101
36005012102,2012102
36005012300,2012300
36005012500,2012500
36005012701,2012701
36005012901,2012901
36005013000,2013000
36005013100,2013100
36005013200,2013200
36005013300,2013300
36005013500,2013500
36005013800,2013800
36005014100,2014100
36005014300,2014300
36005014400,2014400
36005014500,2014500
36005014701,2014701
36005014702,2014702
36005014900,2014900
36005015100,2015100
36005015200,2015200
36005015300,2015300
36005015500,2015500
36005015700,2015700
36005015800,2015800
36005015900,2015900
36005016000,2016000
36005016100,2016100
36005016200,2016200
36005016300,2016300
36005016400,2016400
36005016500,2016500
36005016600,2016600
36005016700,2016700
36005016900,2016900
36005017100,2017100
36005017300,2017300
36005017500,2017500
36005017701,2017701
36005017702,2017702
36005017901,2017901
36005017902,2017902
36005018101,2018101
36005018102,2018102
36005018301,2018301
36005018302,2018302
36005018400,2018400
36005018500,2018500
36005018900,2018900
36005019300,2019300
36005019400,2019400
36005019500,2019500
36005019700,2019700
36005019900,2019900
36005020000,2020000
36005020100,2020100
36005020200,2020200
36005020400,2020400
36005020501,2020501
36005020502,2020502
36005020601,2020601
36005020900,2020900
36005021001,2021001
36005021002,2021002
36005021100,2021100
36005021200,2021200
36005021301,2021301
36005021302,2021302
36005021501,2021501
36005021502,2021502
36005021601,2021601
