borough,CT,NTA
Bronx,2027700,BX28
Bronx,2027900,BX28
Bronx,2028100,BX28
Bronx,2040303,BX28
Bronx,2040304,BX28
Bronx,2040701,BX28
Bronx,2040900,BX28
Bronx,2020000,BX37
Bronx,2023000,BX37
Bronx,2023200,BX37
Bronx,2023600,BX37
Bronx,2023800,BX37
Bronx,2024000,BX37
Bronx,2024400,BX37
Bronx,2025200,BX37
Bronx,2025400,BX37
Bronx,2025600,BX37
Bronx,2028400,BX37
Bronx,2028600,BX37
Bronx,2006300,BX63
Bronx,2019500,BX63
Bronx,2019700,BX63
Bronx,2020900,BX63
Bronx,2022101,BX63
Bronx,2022102,BX63
Bronx,2022300,BX63
Bronx,2005400,BX08
Bronx,2005600,BX08
Bronx,2006200,BX08
Bronx,2006400,BX08
Bronx,2007600,BX08
Bronx,2021601,BX08
Bronx,2021800,BX08
Bronx,2007800,BX59
Bronx,2009200,BX59
Bronx,2009600,BX59
Bronx,2009800,BX59
Bronx,2020200,BX59
Bronx,2020400,BX59
Bronx,2020601,BX59
Bronx,2036800,BX44
Bronx,2037000,BX44
Bronx,2037200,BX44
Bronx,2037400,BX44
Bronx,2037600,BX44
Bronx,2037800,BX44
Bronx,2038000,BX44
Bronx,2038200,BX44
Bronx,2038800,BX44
Bronx,2039000,BX44
Bronx,2039200,BX44
Bronx,2039400,BX44
Bronx,2039600,BX44
Bronx,2039800,BX44
Bronx,2040400,BX44
Bronx,2040600,BX44
Bronx,2040800,BX44
Bronx,2042000,BX44
Bronx,2042200,BX44
Bronx,2042400,BX44
Bronx,2041400,BX62
Bronx,2041800,BX62
Bronx,2042600,BX62
Bronx,2042800,BX62
Bronx,2043000,BX62
Bronx,2043400,BX62
Bronx,2043600,BX62
Bronx,2044200,BX62
Bronx,2044400,BX62
Bronx,2044800,BX62
Bronx,2044901,BX62
Bronx,2044902,BX62
Bronx,2045101,BX62
Bronx,2045102,BX62
Brooklyn,3016800,BK27
Brooklyn,3017000,BK27
Brooklyn,3017200,BK27
Brooklyn,3017400,BK27
Brooklyn,3017600,BK27
Brooklyn,3017800,BK27
Brooklyn,3018000,BK27
Brooklyn,3028000,BK27
Brooklyn,3028200,BK27
Brooklyn,3028600,BK27
Brooklyn,3029200,BK27
Brooklyn,3003000,BK31
Brooklyn,3003400,BK31
Brooklyn,3003600,BK31
Brooklyn,3003800,BK31
Brooklyn,3004400,BK31
Brooklyn,3004600,BK31
Brooklyn,3005000,BK31
Brooklyn,3005201,BK31
Brooklyn,3005202,BK31
Brooklyn,3005400,BK31
Brooklyn,3005601,BK31
Brooklyn,3005602,BK31
Brooklyn,3005800,BK31
Brooklyn,3006000,BK31
Brooklyn,3006200,BK31
Brooklyn,3006400,BK31
Brooklyn,3006600,BK31
Brooklyn,3006800,BK31
Brooklyn,3007000,BK31
Brooklyn,3012600,BK31
Brooklyn,3013000,BK31
Brooklyn,3013400,BK31
Brooklyn,3013600,BK31
Brooklyn,3013800,BK31
Brooklyn,3014200,BK31
Brooklyn,3016000,BK31
Brooklyn,3016200,BK31
Brooklyn,3016400,BK31
Brooklyn,3023300,BK75
Brooklyn,3024100,BK75
Brooklyn,3024300,BK75
Brooklyn,3024500,BK75
Brooklyn,3024900,BK75
Brooklyn,3025100,BK75
Brooklyn,3025300,BK75
Brooklyn,3025500,BK75
Brooklyn,3025700,BK75
